ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment,Super_Score
SCHA,0.5302857877814011,0.1123456790123456,0.4068648406612732,0.6149896462224229,0.8048056832427916,0.853550736633008,0.7559
FDL,0.1845849279915587,0.5938271604938274,0.607875778382138,0.3559696029873149,0.5613860318401791,0.6747723886773714,0.7514
FVD,0.1429110584399605,0.8160493827160495,0.4158699546371045,0.3757503842670961,0.7645390453338365,0.7652044363515976,0.7449
RSP,0.2750824962628946,0.3098765432098766,0.4099213002894085,0.9608903567071494,0.9941280347249372,0.440423770898858,0.7389
IJR,0.5486123748892401,0.137037037037037,0.3793826283745052,0.8520974551720066,0.892399875982368,0.762522761132263,0.7343
VUG,0.437487089857826,0.1,0.4425463594773088,0.6817436712710387,0.3189854818489411,0.6448270153948024,0.7337
VT,0.2522681347167964,0.137037037037037,0.4929974721480266,0.7489505748472474,0.7311634741113194,0.4358053302433373,0.7297
IWD,0.2297278211112852,0.2851851851851852,0.4394720430484427,0.7613480092589116,1.0,0.6604701208409205,0.7283
FNDF,0.2302306748203484,0.371604938271605,0.6468728901273926,0.5304647671223963,1.0,0.4694752524416489,0.7256
VXF,0.5158760716058818,0.1246913580246913,0.4291756550311551,0.480407616980248,0.8460428939244841,0.3480549577884457,0.7167
PBUS,0.3057963539750379,0.1123456790123456,0.4590208142754112,0.3436459286494174,0.6762047908550478,0.5596093362026155,0.6999
DIA,0.2346341955449487,0.2604938271604939,0.4155657268441884,0.7639084086111407,0.5735303236590594,0.2468962092368814,0.6912
SPYG,0.4170414158689572,0.1123456790123456,0.4687946866990105,0.7195218383715551,0.409721903940256,0.1405230922032776,0.6895
IVE,0.2516496483937788,0.2851851851851852,0.4282284279031563,0.5874977374659464,1.0,0.7169342824035757,0.6839
FDVV,0.2335840657745223,0.2481481481481482,0.5846719032488963,0.3543613540228271,0.7645390453338365,0.6519781493130278,0.6785
XLI,0.3210254265849614,0.1617283950617284,0.4837133153108408,0.8570795545210157,0.1242643193184422,0.2589637477238868,0.6576
XLK,0.5489688729399023,0.1617283950617284,0.4752462340250064,1.0,0.1,0.1429068035093528,0.6457
IUSG,0.4137321193391589,0.1123456790123456,0.4517820557384699,0.4970783754338794,0.3394766995133655,0.9194007614633342,0.6456
XLU,0.3293993489110937,0.1617283950617284,0.49901888909598,0.8545465172405549,0.1,0.1,0.6411
FNDX,0.2392311628531411,0.371604938271605,0.4691595260800676,0.6409155510425322,1.0,0.6341003145174642,0.641
VDC,0.1507137493322284,0.1740740740740741,0.3818050170679232,0.2852173897121576,0.1,0.6329084588644265,0.638
SCHE,0.3316337404781536,0.1493827160493827,0.5605935635879133,0.474889432181876,0.7964102287586106,0.5386028803178282,0.6378
FTCS,0.1459472908129448,0.7049382716049385,0.322079558867714,0.3154671870750574,0.7454308938705634,0.398559841085913,0.6313
RWL,0.1891460442229807,0.5444444444444446,0.4429773727626802,0.2994924349020003,0.9658115740803148,0.5187882800860786,0.6312
VTWO,0.5457943642921599,0.137037037037037,0.4147707570850889,0.556379756141204,0.8139169351468666,0.5809137560006623,0.6282
CGDV,0.2073930137575978,0.4703703703703705,0.507582152098976,0.6633869738563583,0.7242360109459041,0.7866578381062739,0.6186
VONE,0.3040839713851427,0.137037037037037,0.4538803070787011,0.2699605353794166,0.7333593950096384,0.7647574904817086,0.6054
XLC,0.3210188228769781,0.1617283950617284,0.5398564322050343,0.7428603238005016,0.1,0.1,0.5983
MGC,0.3146680019779095,0.1246913580246913,0.4631259581199976,0.2979576435734878,0.4884717522882601,0.4283562324118525,0.5962
XLE,0.4585329147214217,0.1617283950617284,0.4710736029514535,0.9108829012438112,0.1,0.1892401920211885,0.594
AMLP,0.2590988377362002,1.0,0.6735533144032119,0.4699948480477762,0.1046344849898224,0.5445621585830162,0.5931
VBK,0.5373173609121915,0.1246913580246913,0.3376224471065673,0.4282546575702021,0.7136688998827225,0.7973845389836122,0.5924
VOT,0.3923332848176031,0.1246913580246913,0.3350234990200173,0.3930674300700237,0.7107693137241686,0.3601224962754512,0.5894
SDY,0.2009934622937163,0.4950617283950618,0.4401809293429573,0.4299012123324424,0.91308520820134,0.4293991061082604,0.581
PRF,0.2331344148067471,0.4827160493827163,0.46466407097798,0.3392925911103487,1.0,0.7561165369971861,0.58
MGK,0.4542588898825914,0.1246913580246913,0.4480518495275171,0.4875939482789383,0.2931803782537778,0.7513491143850358,0.5768
XLRE,0.3218021642706495,0.1617283950617284,0.5182609493531691,0.6223596057582063,0.1,0.1,0.5734
AVLV,0.3231027145370861,0.2481481481481482,0.4493539612564377,0.3613902772627888,0.9283595972122994,0.6817745406389673,0.5533
VNQ,0.3412461111259806,0.2234567901234568,0.5649433500170448,0.7451877075644782,0.1,0.287419301440159,0.5521
DGRW,0.2256778019365315,0.4086419753086421,0.4184303969277654,0.4424249155217546,0.8597279700200856,0.6664293991061083,0.5509
DFUV,0.2832130936928864,0.3222222222222223,0.4336446118770287,0.3855934558563667,0.9009530485421188,0.46887932461513,0.5468
QQQ,0.4399887616935274,0.2851851851851852,0.4616231284461534,1.0,0.308830864214173,0.3748717099817912,0.5392
PVAL,0.2308144578143307,0.7419753086419756,0.4534381691609833,0.3607633124935093,1.0,0.5856811786128125,0.5355
JQUA,0.246202109714849,0.2111111111111111,0.4255413435924814,0.3378641651441136,0.6200450237925133,0.5853832146995532,0.5323
ACWI,0.2507377948981105,0.4580246913580248,0.4738270046388838,0.6950753850243802,0.6985886254263107,0.5536500579374277,0.5295
SPHQ,0.250962620381998,0.2481481481481482,0.4572389417402125,0.4891280291370609,0.6328565843926506,0.5536500579374277,0.5266
GSLC,0.2965421210174949,0.1740740740740741,0.4316896895053313,0.3831981101429497,0.6702842969413478,0.2988909121006456,0.5249
XLY,0.511157359867638,0.1617283950617284,0.3850679004295966,0.8094259700086157,0.1019654098647938,0.1,0.5227
DFUS,0.3130406929214842,0.1740740740740741,0.436757434101784,0.4326249922236149,0.7170173759486675,0.46887932461513,0.5221
SPYI,0.256847586396509,0.9024691358024696,0.5875110153725644,0.4226668661106448,0.6669964816736988,0.6080284721072672,0.5219
IWR,0.3574906101772951,0.2851851851851852,0.4048050951169313,0.6697086565049469,0.9774099187145304,0.1157920874027479,0.5215
VPU,0.3318405584416748,0.1740740740740741,0.4925838852460626,0.3095787459088787,0.1,0.6360370799536502,0.5212
VFH,0.3165675553713379,0.1740740740740741,0.476100645520036,0.3940819308785117,0.1034940619818556,0.6235225955967556,0.5199
VONG,0.4394365215638026,0.137037037037037,0.4407644869421101,0.611131517637066,0.3425461359071485,0.5895547094851847,0.5163
AVUS,0.3262542515961005,0.2481481481481482,0.4387179187896545,0.357104721433006,0.868912014882116,0.5762953153451417,0.5141
IWS,0.3424858711593727,0.3469135802469137,0.4175052755920184,0.4045442298257377,0.9845072321151748,0.1220493295811951,0.5127
QUAL,0.285793891209923,0.2481481481481482,0.4191681211829161,0.6516773586189666,0.6640968955151451,0.6963747723886775,0.5125
VLUE,0.3167322464780296,0.2481481481481482,0.536592522463591,0.3768732332220234,0.4745561651591335,0.8833471279589474,0.512
SPMO,0.3894237609430318,0.2234567901234568,0.5825606179892199,0.4536176992517465,0.3583300756237952,0.1399271643767588,0.5096
JEPQ,0.346445196876446,0.4950617283950618,0.6673112699500638,0.7431782169159136,0.3861491177223892,0.4976328422446616,0.5058
