ETF,DEA_Score,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity
VTWO,0.6282,0.5457943642921599,0.137037037037037,0.4147707570850889,0.556379756141204,0.8139169351468666
CGDV,0.6186,0.2073930137575978,0.4703703703703705,0.507582152098976,0.6633869738563583,0.7242360109459041
VONE,0.6054,0.3040839713851427,0.137037037037037,0.4538803070787011,0.2699605353794166,0.7333593950096384
XLC,0.5983,0.3210188228769781,0.1617283950617284,0.5398564322050343,0.7428603238005016,0.1
MGC,0.5962,0.3146680019779095,0.1246913580246913,0.4631259581199976,0.2979576435734878,0.4884717522882601
XLE,0.594,0.4585329147214217,0.1617283950617284,0.4710736029514535,0.9108829012438112,0.1
AMLP,0.5931,0.2590988377362002,1.0,0.6735533144032119,0.4699948480477762,0.1046344849898224
VBK,0.5924,0.5373173609121915,0.1246913580246913,0.3376224471065673,0.4282546575702021,0.7136688998827225
VOT,0.5894,0.3923332848176031,0.1246913580246913,0.3350234990200173,0.3930674300700237,0.7107693137241686
SDY,0.581,0.2009934622937163,0.4950617283950618,0.4401809293429573,0.4299012123324424,0.91308520820134
PRF,0.58,0.2331344148067471,0.4827160493827163,0.46466407097798,0.3392925911103487,1.0
MGK,0.5768,0.4542588898825914,0.1246913580246913,0.4480518495275171,0.4875939482789383,0.2931803782537778
XLRE,0.5734,0.3218021642706495,0.1617283950617284,0.5182609493531691,0.6223596057582063,0.1
AVLV,0.5533,0.3231027145370861,0.2481481481481482,0.4493539612564377,0.3613902772627888,0.9283595972122994
VNQ,0.5521,0.3412461111259806,0.2234567901234568,0.5649433500170448,0.7451877075644782,0.1
DGRW,0.5509,0.2256778019365315,0.4086419753086421,0.4184303969277654,0.4424249155217546,0.8597279700200856
DFUV,0.5468,0.2832130936928864,0.3222222222222223,0.4336446118770287,0.3855934558563667,0.9009530485421188
QQQ,0.5392,0.4399887616935274,0.2851851851851852,0.4616231284461534,1.0,0.308830864214173
PVAL,0.5355,0.2308144578143307,0.7419753086419756,0.4534381691609833,0.3607633124935093,1.0
JQUA,0.5323,0.246202109714849,0.2111111111111111,0.4255413435924814,0.3378641651441136,0.6200450237925133
ACWI,0.5295,0.2507377948981105,0.4580246913580248,0.4738270046388838,0.6950753850243802,0.6985886254263107
SPHQ,0.5266,0.250962620381998,0.2481481481481482,0.4572389417402125,0.4891280291370609,0.6328565843926506
GSLC,0.5249,0.2965421210174949,0.1740740740740741,0.4316896895053313,0.3831981101429497,0.6702842969413478
XLY,0.5227,0.511157359867638,0.1617283950617284,0.3850679004295966,0.8094259700086157,0.1019654098647938
DFUS,0.5221,0.3130406929214842,0.1740740740740741,0.436757434101784,0.4326249922236149,0.7170173759486675
SPYI,0.5219,0.256847586396509,0.9024691358024696,0.5875110153725644,0.4226668661106448,0.6669964816736988
IWR,0.5215,0.3574906101772951,0.2851851851851852,0.4048050951169313,0.6697086565049469,0.9774099187145304
VPU,0.5212,0.3318405584416748,0.1740740740740741,0.4925838852460626,0.3095787459088787,0.1
VFH,0.5199,0.3165675553713379,0.1740740740740741,0.476100645520036,0.3940819308785117,0.1034940619818556
VONG,0.5163,0.4394365215638026,0.137037037037037,0.4407644869421101,0.611131517637066,0.3425461359071485
AVUS,0.5141,0.3262542515961005,0.2481481481481482,0.4387179187896545,0.357104721433006,0.868912014882116
IWS,0.5127,0.3424858711593727,0.3469135802469137,0.4175052755920184,0.4045442298257377,0.9845072321151748
QUAL,0.5125,0.285793891209923,0.2481481481481482,0.4191681211829161,0.6516773586189666,0.6640968955151451
VLUE,0.512,0.3167322464780296,0.2481481481481482,0.536592522463591,0.3768732332220234,0.4745561651591335
SPMO,0.5096,0.3894237609430318,0.2234567901234568,0.5825606179892199,0.4536176992517465,0.3583300756237952
JEPQ,0.5058,0.346445196876446,0.4950617283950618,0.6673112699500638,0.7431782169159136,0.3861491177223892
DVY,0.5051,0.2638482725188906,0.5320987654320989,0.5673240103028225,0.463861088940367,0.7413544882250652
IWB,0.4992,0.3049644459805157,0.2481481481481482,0.4420930969272446,0.6025555912251961,0.7395589285955004
DFAC,0.4961,0.3251127725121452,0.2728395061728396,0.4213028255594966,0.6733564545190465,0.8501556960489601
NOBL,0.4945,0.2183847324252723,0.4950617283950618,0.3925403203911776,0.3895292254381206,0.8293854387123736
DFAU,0.4937,0.312166330142208,0.2111111111111111,0.4378258844060647,0.3865896206733766,0.7229500020220266
VOOG,0.4882,0.4169199993668303,0.1493827160493827,0.4543335696287654,0.4259702319860099,0.3999069867759459
DUHP,0.4753,0.2664414576320831,0.3098765432098766,0.4078065054730987,0.4213745000547492,0.7074814984565198
URTH,0.4737,0.2563062581872806,0.3592592592592594,0.4747168427904926,0.309705167914181,0.6644608603049218
XLB,0.4718,0.4092638280969254,0.1617283950617284,0.3901851319818438,0.7131299423717936,0.1
FTEC,0.4659,0.5777947450349623,0.1666666666666667,0.4836704170509895,0.4035102514781205,0.1
QYLD,0.4649,0.2937801005490598,0.8037037037037039,0.565480270243807,0.603480110664665,0.3187792351347344
DYNF,0.4609,0.3131617814956868,0.3839506172839507,0.5015926522509684,0.6240233109673168,0.4481565857406684
ESGV,0.4564,0.3445743989599182,0.1740740740740741,0.442406253120526,0.3487968557568103,0.4459242683633717
VIS,0.456,0.3724342310342488,0.1740740740740741,0.4663765469971135,0.2728345173651946,0.1242643193184422
ESGU,0.4545,0.3130345811053873,0.2481481481481482,0.4412716289119311,0.4452915796271893,0.6713761913106777
IWM,0.4481,0.5433653783937724,0.2975308641975309,0.3900573201096186,1.0,0.8373441354488226
VGT,0.4345,0.5739145449992242,0.1740740740740741,0.4711157617764172,0.621420886292921,0.1
IWV,0.4328,0.310362762202746,0.3098765432098766,0.4326666375012951,0.3962465581152665,0.7005904317700821
IVW,0.4303,0.4156569398167857,0.2851851851851852,0.443419654152839,0.7611477922282317,0.3916328538883572
FNDE,0.4295,0.3733269292618156,0.5444444444444446,0.7002085824419578,0.3900018087769196,0.8106776485178545
QQQM,0.4279,0.4371165645713861,0.2481481481481482,0.4661704102084576,0.7722303220813385,0.3153215696318564
VDE,0.4276,0.4684916913192254,0.1740740740740741,0.463619779225491,0.363633491899514,0.1
VHT,0.4086,0.2608123680738306,0.1740740740740741,0.330596270581784,0.3871249212010548,0.1
PPA,0.4043,0.2897391896912187,0.7790123456790126,0.5134450099269693,0.2979909717583168,0.1146799131876575
CGUS,0.4011,0.2779059628202229,0.4703703703703705,0.4541207006717251,0.3943397119327745,0.6651766577248157
OEF,0.3946,0.3303042707708541,0.3098765432098766,0.4672685813807034,0.4358523716303047,0.4569038728549668
IWF,0.3841,0.4407238644142724,0.2851851851851852,0.4294833923807045,0.7132567310115885,0.3272232182575523
XLG,0.3823,0.3607206170617961,0.3098765432098766,0.4748481642193511,0.4808668034632005,0.3765283151126269
MTUM,0.3802,0.4176541183038023,0.2481481481481482,0.4719669506596956,0.4951429033569452,0.5385775716808434
IJJ,0.3696,0.4238793784521931,0.2851851851851852,0.4201195973024358,0.3000645085891779,0.7811479719073103
FNDA,0.3688,0.4959950253428937,0.371604938271605,0.3863215515824926,0.3939234246987004,0.9441556690886052
MDY,0.3541,0.4379919111344353,0.3469135802469137,0.381616593607557,0.5230013559025511,0.8117574107275252
ITA,0.351,0.3196330351131093,0.5320987654320989,0.4848778038598419,0.4119234755955817,0.1001941145545475
IOO,0.3429,0.3177585848399171,0.5567901234567904,0.4774790294058472,0.2950595371341619,0.3678174244773061
ONEQ,0.34,0.4666831593114016,0.3222222222222223,0.4988063070838221,0.3313588743068644,0.3320639499615815
COWZ,0.3329,0.3602722778057183,0.6679012345679014,0.4278744262095634,0.5614089957799014,0.8177264332798622
IJS,0.3267,0.5723125030269973,0.2851851851851852,0.3797541999239466,0.313375883497931,0.8732553280401172
DFAS,0.3261,0.4958736088407667,0.3839506172839507,0.3681489680093542,0.3918625671645576,0.8413841446153432
IWY,0.3215,0.4428247798109739,0.3098765432098766,0.4498877449549137,0.4069096688408367,0.2932774355310516
IWN,0.3133,0.527516507749134,0.3592592592592594,0.4449609896225725,0.4586352459483251,0.8243505924537968
RDVY,0.3055,0.3468206862312476,0.64320987654321,0.421792397673469,0.5034084175909443,0.5864996023347668
IWP,0.2951,0.4704848895216532,0.3469135802469137,0.3133136686326956,0.4866965419642412,0.7136688998827225
DFAT,0.2922,0.5098216143802795,0.4086419753086421,0.4344329929401851,0.3746244584769952,0.754627070892253
MOAT,0.2921,0.3634540460172927,0.6308641975308644,0.3877803131442743,0.4235190323617997,0.6868325627165254
CGGR,0.2919,0.4366857409437882,0.5444444444444446,0.4105907978807051,0.5825238283883811,0.6922677702438564
IJK,0.2877,0.4706917074851743,0.2728395061728396,0.3488682584838348,0.3463909323903503,0.6503390264615883
THRO,0.2791,0.3164165635724996,0.7666666666666668,0.3785613038316329,0.3372072490940645,0.4759270992006256
AVUV,0.277,0.5716446302833179,0.371604938271605,0.4488356946542702,0.51077731080637,0.719128371729372
DFSV,0.2741,0.5551944610162174,0.4333333333333334,0.4293090292195535,0.3693592958412635,0.778163460631142
IGM,0.2631,0.5581808150766536,0.5444444444444446,0.536168241346604,0.3390437627644601,0.1380464526913174
PAVE,0.2486,0.5044779765749969,0.64320987654321,0.5122529967419842,0.4540210735781246,0.2006362643732391
SMH,0.2412,0.8951590510949168,0.4950617283950618,0.5794183949504058,0.8880768525746641,0.1111494547268242
IXN,0.2412,0.546205868687694,0.5444444444444446,0.4859396654681795,0.2913394075931986,0.1
IYW,0.2388,0.5606036891589441,0.5320987654320989,0.481475101086268,0.4940647065284685,0.1432996778237601
IWO,0.2313,0.5790525125887207,0.3592592592592594,0.3394396028259042,0.3929555162435436,0.6619373710958036
XBI,0.2264,0.7237562649626629,0.4950617283950618,0.3695791785553822,0.6968765554416798,0.1242643193184422
SOXX,0.2197,0.9817213474000568,0.4827160493827163,0.6017357980162309,0.7227538480795593,0.1076432605853093
JGRO,0.2178,0.4295079761185591,0.6061728395061731,0.4076202782447137,0.3274303401029573,0.4489815725974954
IGV,0.2099,0.7327755803356328,0.5444444444444446,0.2247772446881428,0.6639478442576358,0.1079223002574713
AIRR,0.2083,0.6203614767780894,0.914814814814815,0.5662308385933273,0.3391371031641483,0.14439157219309
SDVY,0.2061,0.4991467263658702,0.7790123456790126,0.4091506325545417,0.4370475069914876,0.5383470606473182
AIQ,0.204,0.543030540220141,0.9024691358024696,0.4854457008902449,0.3754769897556049,0.2154132348381705
IBB,0.1915,0.4741402640735038,0.6061728395061731,0.2493330054509818,0.4439969102659259,0.1
CIBR,0.1881,0.466657728263241,0.7790123456790126,0.3468934265518667,0.3922012037015531,0.1163420190609708
QLD,0.1674,1.0,1.0,0.5692741208295762,0.6746874541730858,0.3208538344364612
