ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),Div_Score (產出),FinBERT_score
ESGV,3.0,2026-04-15,18.98,1.01,16.2,-20.62,0.09,0.22,12.27,3.6513,0.0315
MOAT,3.0,2026-04-15,10.87,1.45,15.66,-22.49,0.46,0.86,12.16,5.637,0.048
MGV,3.0,2026-04-15,13.21,2.06,12.18,-13.94,0.05,0.23,11.82,7.1378,0.0634
AVUS,3.0,2026-04-15,18.43,1.04,15.47,-20.26,0.15,0.3,11.96,7.1378,0.0721
DFAX,3.0,2026-04-15,15.89,2.51,14.47,-14.21,0.28,0.64,11.52,,0.7162
VSS,3.0,2026-04-15,12.07,3.35,14.82,-17.57,0.06,0.35,11.65,,-0.2021
ESGD,3.0,2026-04-15,11.74,3.59,15.32,-13.98,0.2,0.35,11.47,,-0.09
NOBL,3.0,2026-04-15,5.54,2.14,12.81,-16.24,0.35,0.61,11.38,6.812,0.0672
AVLV,3.0,2026-04-15,17.89,1.21,15.36,-20.18,0.15,0.38,11.34,7.6278,0.1429
DUHP,3.0,2026-04-15,15.49,1.09,13.97,-18.06,0.2,0.93,11.31,5.8072,0.0
VLUE,3.0,2026-04-15,18.47,2.0,16.05,-18.96,0.15,0.49,11.5,3.8873,0.2782
DFAU,3.0,2026-04-15,18.44,1.03,15.17,-19.68,0.12,0.6,11.21,5.9347,0.0316
ACWX,3.0,2026-04-15,14.03,2.78,15.07,-14.41,0.32,1.44,11.22,,-0.0084
EWZ,3.0,2026-04-15,12.72,4.32,24.45,-37.18,0.59,25.05,11.75,,0.1101
SDVY,3.0,2026-04-15,16.18,1.02,19.65,-26.8,0.58,1.16,10.89,4.4131,-0.0806
IGF,3.0,2026-04-15,11.72,2.96,13.09,-16.22,0.39,0.63,10.35,,-0.1672
BBCA,3.0,2026-04-15,16.96,1.86,15.01,-13.33,0.19,0.28,10.56,,-0.1271
VDE,3.0,2026-04-15,10.27,2.27,21.53,-22.6,0.09,0.55,9.71,0.8,-0.0919
IGV,3.0,2026-04-15,9.57,0.0,24.46,-36.61,0.39,6.03,12.3,0.8653,-0.1099
IJK,3.0,2026-04-15,14.57,0.62,18.81,-25.9,0.17,0.33,10.58,5.3362,-0.0508
PBUS,3.0,2026-04-15,19.26,1.14,15.11,-19.33,0.04,0.3,10.7,5.5494,0.0609
GDXJ,3.0,2026-04-15,48.03,2.23,40.57,-32.92,0.51,5.75,9.99,,0.2496
FNDA,3.0,2026-04-15,12.74,1.21,19.79,-26.43,0.25,0.78,10.16,7.758,0.1846
SCHH,3.0,2026-04-15,5.65,3.03,16.91,-19.51,0.07,5.68,9.95,,-0.1904
CGUS,3.0,2026-04-15,20.02,1.0,14.44,-18.27,0.33,0.79,10.11,5.4585,0.0
EZU,3.0,2026-04-15,13.79,2.92,17.06,-15.02,0.5,2.3,9.76,,-0.0747
CGGO,3.0,2026-04-15,16.69,2.11,16.23,-17.93,0.47,0.81,10.0,,0.0
PVAL,3.0,2026-04-15,20.13,0.98,13.74,-15.98,0.55,0.51,9.86,8.4962,0.0784
QLD,3.0,2026-04-15,43.9,0.19,39.25,-42.34,0.95,6.94,11.22,2.6204,-0.3767
FNDE,3.0,2026-04-15,14.93,4.04,17.1,-21.47,0.39,0.83,9.43,6.6578,0.0077
AIRR,3.0,2026-04-15,38.74,0.16,25.43,-28.08,0.69,0.36,9.63,1.1659,0.2023
CIBR,3.0,2026-04-15,14.16,0.65,21.65,-22.34,0.58,0.77,10.1,0.9347,-0.0059
ONEQ,3.0,2026-04-15,25.08,0.83,19.91,-24.36,0.21,0.29,9.77,2.7128,-0.0154
BBEU,3.0,2026-04-15,12.18,3.0,15.13,-14.49,0.09,0.75,9.01,,-0.0773
PRF,3.0,2026-04-15,16.24,1.56,13.32,-16.62,0.34,0.39,9.33,8.2237,0.1928
VPU,3.0,2026-04-15,10.15,2.57,16.02,-19.99,0.09,0.22,8.85,0.8,0.1122
FDVV,3.0,2026-04-15,14.11,3.0,12.88,-17.16,0.15,0.53,9.16,6.2775,0.1229
MGC,3.0,2026-04-15,20.59,1.02,15.45,-19.52,0.05,0.11,9.26,4.002,-0.0272
IEUR,3.0,2026-04-15,11.83,3.01,15.55,-14.25,0.1,0.94,9.02,,-0.072
SHLD,2.6,2026-04-15,53.13,0.51,20.86,-15.06,0.5,0.65,8.61,,0.1984
DBEF,3.0,2026-04-15,13.24,5.49,13.84,-14.62,0.35,0.63,8.79,,-0.1212
JGRO,3.0,2026-04-15,23.1,0.17,19.23,-22.7,0.44,0.32,9.13,3.6765,0.6083
VIGI,3.0,2026-04-15,7.08,2.27,13.29,-15.3,0.07,0.29,8.93,,-0.0814
SPYI,3.0,2026-04-15,2.44,12.5,13.02,-18.53,0.68,1.26,9.02,5.4735,0.0934
GRID,3.0,2026-04-15,23.14,0.92,19.14,-20.9,0.56,0.19,9.43,,-0.055
DFAE,3.0,2026-04-15,16.71,2.18,16.71,-18.76,0.29,0.8,8.84,,0.9182
RWL,3.0,2026-04-15,15.96,1.38,12.46,-14.72,0.39,0.17,8.66,7.9365,0.0335
