ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
SOXL,1.0,0.9888888888888892,0.5662308385933273,0.7861224976448986,,0.42522761132262876
HDV,0.11666562314122034,0.16172839506172842,0.5113209997654118,0.3995226018026026,0.581355566639257,0.6822214865088563
DFAS,0.49587360884076676,0.38395061728395075,0.3681489680093542,0.3918625671645576,0.8413841446153432,0.8820062903492802
SPMO,0.3894237609430318,0.22345679012345687,0.5825606179892199,0.45361769925174655,0.35833007562379526,0.13992716437675887
DFAT,0.5098216143802795,0.4086419753086421,0.4344329929401851,0.37462445847699527,0.754627070892253,0.9702036086740609
IWN,0.527516507749134,0.3592592592592594,0.4449609896225725,0.4586352459483251,0.8243505924537968,0.1111736467472273
IWO,0.5790525125887207,0.3592592592592594,0.33943960282590424,0.39295551624354363,0.6619373710958036,0.10804502565800367
IQLT,0.22361175383282758,0.43333333333333346,0.4760520414715702,0.4879598250634488,,0.36459195497434205
PAVE,0.5044779765749969,0.64320987654321,0.5122529967419842,0.45402107357812466,0.20063626437323917,0.6268001986426089
VFH,0.31656755537133796,0.1740740740740741,0.476100645520036,0.39408193087851173,0.10349406198185568,0.6235225955967556
SPTM,0.29923822322056165,0.1,0.4553159364684612,0.40043648647780383,0.6803418572988421,0.7048667439165703
AMLP,0.2590988377362002,1.0,0.6735533144032119,0.46999484804777625,0.10463448498982246,0.5445621585830162
SCHE,0.33163374047815364,0.14938271604938275,0.5605935635879133,0.47488943218187607,0.7964102287586106,0.5386028803178282
ESGV,0.34457439895991826,0.1740740740740741,0.44240625312052606,0.3487968557568103,0.44592426836337173,0.5158086409534847
MOAT,0.3634540460172927,0.6308641975308644,0.38778031314427436,0.4235190323617997,0.6868325627165254,0.5403906637973848
MGV,0.17237408023425316,0.12469135802469138,0.47830035394871956,0.3457247012570434,0.868912014882116,0.563333885118358
AVUS,0.32625425159610055,0.2481481481481482,0.43871791878965455,0.357104721433006,0.868912014882116,0.5762953153451417
DFAX,0.21679873040586578,0.4086419753086421,0.5567509191286026,0.3943280547455758,,1.0
VSS,0.27397075643961283,0.13703703703703707,0.595208684859208,0.3607038117483845,,0.16778679026651222
ESGD,0.22827513129827498,0.3098765432098766,0.6155159728089268,0.35881794686749624,,0.3347955636484027
NOBL,0.21838473242527234,0.4950617283950618,0.3925403203911776,0.38952922543812063,0.8293854387123736,0.5689951994702865
AVLV,0.32310271453708617,0.2481481481481482,0.4493539612564377,0.36139027726278883,0.9283595972122994,0.6817745406389673
