ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
XAR,3.0,2026-04-15,33.67,0.35,22.42,-19.82,0.35,0.13,5.78,0.1812,2026-04-16
FXI,3.0,2026-04-15,7.8,2.59,28.53,-30.51,0.73,39.49,5.92,-0.1123,2026-04-16
ARKK,3.0,2026-04-15,24.47,0.0,39.39,-39.56,0.75,11.74,5.98,-0.1786,2026-04-16
SSO,3.0,2026-04-15,32.33,0.82,29.72,-35.34,0.87,5.89,5.41,-0.247,2026-04-16
VCR,3.0,2026-04-15,15.58,0.8,21.14,-27.64,0.09,0.06,6.16,-0.0379,2026-04-16
DLN,3.0,2026-04-15,13.72,1.91,11.73,-14.01,0.28,0.16,5.65,0.3717,2026-04-16
DIHP,3.0,2026-04-15,11.6,2.17,14.17,-12.96,0.27,0.48,5.39,0.7162,2026-04-16
VOX,3.0,2026-04-15,25.83,1.05,18.19,-21.34,0.09,0.19,5.78,0.0798,2026-04-16
DFLV,3.0,2026-04-15,14.13,1.55,14.12,-17.54,0.21,0.54,5.37,0.0,2026-04-16
GSIE,3.0,2026-04-15,13.34,2.72,14.61,-13.38,0.25,0.42,5.19,-0.0788,2026-04-16
DFIS,3.0,2026-04-15,15.68,2.22,15.11,-14.01,0.39,0.41,5.17,0.0,2026-04-16
EFAV,3.0,2026-04-15,10.48,3.03,11.1,-10.94,0.2,0.47,5.34,-0.127,2026-04-16
SCHC,3.0,2026-04-15,13.57,3.65,15.88,-16.62,0.08,0.43,4.99,-0.2137,2026-04-16
SPXL,3.0,2026-04-15,44.13,0.8,44.27,-49.21,0.84,5.68,4.65,-0.2474,2026-04-16
CGXU,3.0,2026-04-15,11.01,5.37,18.09,-21.92,0.54,0.62,4.93,0.0,2026-04-16
KBWB,3.0,2026-04-15,25.91,2.27,24.58,-25.91,0.35,1.52,4.83,0.1865,2026-04-16
XMHQ,3.0,2026-04-15,13.46,0.6,18.89,-25.33,0.25,0.3,5.03,-0.0782,2026-04-16
RECS,3.0,2026-04-15,19.18,0.83,14.78,-19.28,0.15,0.41,4.89,0.1494,2026-04-16
JHMM,3.0,2026-04-15,13.95,0.95,16.46,-22.35,0.41,0.22,4.89,-0.0814,2026-04-16
SCHK,3.0,2026-04-15,18.95,1.17,15.22,-19.44,0.03,0.77,4.74,0.0933,2026-04-16
EWC,3.0,2026-04-15,17.69,1.42,15.45,-14.12,0.5,2.11,4.68,-0.1114,2026-04-16
GNR,3.0,2026-04-15,8.66,2.31,17.95,-24.49,0.4,0.3,4.94,-0.1806,2026-04-16
DSI,3.0,2026-04-15,18.51,1.0,15.98,-20.82,0.25,0.13,4.62,0.0772,2026-04-16
XME,3.0,2026-04-15,30.01,0.35,29.1,-30.63,0.35,2.44,4.38,0.2794,2026-04-16
ILF,3.0,2026-04-15,15.09,3.78,21.21,-29.71,0.47,1.69,4.24,0.3176,2026-04-16
LVHI,3.0,2026-04-15,14.49,3.78,11.36,-11.99,0.4,0.39,4.59,-0.0638,2026-04-16
NLR,3.0,2026-04-15,36.45,2.4,33.36,-30.81,0.56,0.25,4.57,0.1775,2026-04-16
CGDG,2.5,2026-04-15,17.34,1.95,12.21,-10.91,0.47,0.41,4.55,0.1975,2026-04-16
BKLC,3.0,2026-04-15,20.17,1.11,15.14,-19.3,,0.14,4.42,0.0538,2026-04-16
FDN,3.0,2026-04-15,20.53,0.0,21.86,-24.98,0.49,0.51,4.54,0.0165,2026-04-16
REET,3.0,2026-04-15,5.35,3.65,15.66,-20.54,0.14,0.96,4.43,-0.2078,2026-04-16
DISV,3.0,2026-04-15,19.68,2.6,15.54,-14.24,0.42,0.31,4.35,0.388,2026-04-16
FEZ,3.0,2026-04-15,13.61,2.85,17.77,-16.07,0.29,1.64,4.33,-0.0886,2026-04-16
UPRO,3.0,2026-04-15,43.94,1.04,44.43,-49.09,0.89,5.53,3.97,-0.2525,2026-04-16
OMFL,3.0,2026-04-15,10.42,0.86,14.89,-15.7,0.29,0.47,4.18,-0.0249,2026-04-16
RSPT,3.0,2026-04-15,22.1,0.38,22.5,-26.71,0.4,0.49,3.83,-0.0468,2026-04-16
IYR,3.0,2026-04-15,5.81,2.38,16.99,-18.46,0.38,6.28,3.97,-0.156,2026-04-16
KRE,3.0,2026-04-15,16.84,2.42,30.16,-29.16,0.35,16.12,3.71,-0.1179,2026-04-16
SLYG,3.0,2026-04-15,12.72,0.8,20.11,-27.87,0.15,0.15,3.98,0.2834,2026-04-16
SLYV,3.0,2026-04-15,9.7,2.01,21.61,-29.55,0.15,0.23,4.06,0.2818,2026-04-16
VTHR,3.0,2026-04-15,18.52,1.16,15.34,-19.6,0.06,0.03,5.17,0.3438,2026-04-16
EMLP,3.0,2026-04-15,17.04,2.75,13.05,-12.17,0.95,0.24,4.0,0.1945,2026-04-16
TSLL,3.0,2026-04-15,1.93,7.98,110.21,-83.09,0.83,74.6,4.45,-0.44,2026-04-16
IVLU,3.0,2026-04-15,18.25,3.56,15.68,-15.48,0.31,0.53,3.79,-0.069,2026-04-16
HELO,2.5,2026-04-15,12.04,0.66,8.14,-11.02,0.5,0.28,3.76,0.2763,2026-04-16
IFRA,3.0,2026-04-15,16.97,1.7,16.47,-20.77,0.3,0.28,3.7,0.1275,2026-04-16
NVDL,3.0,2026-04-15,131.65,0.0,92.29,-67.55,1.05,13.55,3.73,-0.097,2026-04-16
MAGS,3.0,2026-04-15,36.88,1.69,26.31,-30.46,0.29,1.5,3.5,-0.2553,2026-04-16
IMTM,3.0,2026-04-15,16.62,2.3,16.79,-12.85,0.3,0.36,3.56,-0.1423,2026-04-16
DON,3.0,2026-04-15,9.91,2.41,16.4,-22.09,0.38,0.15,3.72,-0.0801,2026-04-16
TECL,3.0,2026-04-15,49.46,9.64,69.31,-66.7,0.87,1.93,2.98,0.4389,2026-04-16
TDIV,3.0,2026-04-15,23.37,1.5,19.88,-23.28,0.5,0.11,3.54,0.1377,2026-04-16
DEM,3.0,2026-04-15,10.22,4.32,14.86,-17.36,0.63,0.3,3.47,0.2044,2026-04-16
IXJ,3.0,2026-04-15,3.14,1.45,13.53,-18.72,0.4,0.19,3.62,0.0913,2026-04-16
EUFN,3.0,2026-04-15,25.48,3.81,19.0,-15.95,0.49,0.97,3.42,-0.1537,2026-04-16
QTUM,3.0,2026-04-15,39.37,1.1,26.29,-25.6,0.4,0.22,3.25,0.0655,2026-04-16
USRT,3.0,2026-04-15,7.99,2.89,17.25,-19.74,0.08,0.3,3.47,-0.1797,2026-04-16
IWX,3.0,2026-04-15,13.45,1.66,12.3,-13.98,0.2,0.19,3.41,0.3212,2026-04-16
AIA,3.0,2026-04-15,24.79,1.46,23.9,-21.64,0.5,0.13,3.34,0.0419,2026-04-16
SUSA,3.0,2026-04-15,17.0,0.97,15.06,-19.73,0.25,0.17,3.47,0.3761,2026-04-16
XT,3.0,2026-04-15,11.64,8.13,19.33,-22.09,0.46,0.12,3.43,-0.0604,2026-04-16
VIOO,3.0,2026-04-15,11.64,1.31,20.72,-28.98,0.07,0.12,5.22,0.032,2026-04-16
VNQI,3.0,2026-04-15,4.3,4.87,15.15,-20.53,0.12,0.28,3.68,-0.0252,2026-04-16
IDMO,3.0,2026-04-15,21.75,2.06,16.88,-12.67,0.25,0.18,3.2,-0.1391,2026-04-16
AAXJ,3.0,2026-04-15,15.75,1.76,18.56,-20.89,0.72,0.62,3.34,0.0062,2026-04-16
EWU,3.0,2026-04-15,12.87,3.64,14.59,-12.63,0.5,1.8,3.32,-0.4183,2026-04-16
SMLF,3.0,2026-04-15,16.31,1.17,19.97,-26.8,0.15,0.13,3.28,0.2738,2026-04-16
XOP,3.0,2026-04-15,7.42,1.79,27.68,-36.54,0.35,3.66,3.55,-0.1716,2026-04-16
FLJP,3.0,2026-04-15,14.09,5.07,18.58,-15.63,0.09,0.7,2.9,-0.0157,2026-04-16
DFGR,3.0,2026-04-15,4.67,4.23,15.35,-19.87,0.22,0.35,3.19,-0.4358,2026-04-16
FV,3.0,2026-04-15,12.89,0.64,19.3,-23.16,0.89,0.14,3.24,-0.2252,2026-04-16
IYF,3.0,2026-04-15,19.13,1.62,17.1,-16.87,0.38,0.28,3.3,-0.094,2026-04-16
GCOW,3.0,2026-04-15,9.99,4.42,12.7,-12.35,0.6,0.29,3.27,-0.0409,2026-04-16
IMCG,3.0,2026-04-15,14.43,0.8,17.25,-22.21,0.06,0.14,3.1,-0.0893,2026-04-16
EEMV,3.0,2026-04-15,7.59,2.65,11.24,-14.5,0.25,0.4,3.14,0.0,2026-04-16
IVOO,3.0,2026-04-15,12.79,1.33,18.16,-24.77,0.07,0.08,4.95,-0.237,2026-04-16
JTEK,2.5,2026-04-15,25.16,0.0,27.47,-30.61,0.65,0.17,3.08,0.3244,2026-04-16
INTF,3.0,2026-04-15,15.45,2.78,15.26,-13.64,0.16,0.19,3.16,-0.1101,2026-04-16
SPHD,3.0,2026-04-15,4.97,4.31,13.03,-14.26,0.3,0.7,3.29,-0.0313,2026-04-16
ACWV,3.0,2026-04-15,6.94,2.08,9.29,-7.56,0.2,0.19,3.31,-0.0454,2026-04-16
FNDC,3.0,2026-04-15,13.92,3.78,14.73,-14.36,0.39,0.2,3.05,-0.1224,2026-04-16
CALF,3.0,2026-04-15,6.69,1.43,21.09,-34.91,0.59,1.45,3.25,0.3024,2026-04-16
MLPX,3.0,2026-04-15,20.51,4.06,17.0,-17.68,0.45,0.28,3.29,0.1076,2026-04-16
IHI,3.0,2026-04-15,-0.65,0.42,16.62,-23.03,0.38,1.08,3.17,0.1633,2026-04-16
BOTZ,3.0,2026-04-15,13.66,0.73,24.14,-29.02,0.68,0.85,2.94,0.1333,2026-04-16
VAW,3.0,2026-04-15,9.84,1.41,17.65,-23.88,0.09,0.06,4.34,-0.1032,2026-04-16
PTLC,3.0,2026-04-15,12.25,1.13,12.21,-15.17,0.6,0.2,3.03,0.0066,2026-04-16
XYLD,3.0,2026-04-15,-0.62,10.98,10.77,-17.96,0.6,0.64,3.02,0.0355,2026-04-16
NFRA,3.0,2026-04-15,7.08,5.74,11.93,-12.13,0.47,0.09,2.95,-0.144,2026-04-16
USMC,3.0,2026-04-15,19.6,0.84,14.9,-19.31,0.12,0.1,2.89,-0.2405,2026-04-16
LRGF,3.0,2026-04-15,18.91,1.23,15.33,-19.67,0.08,0.15,2.93,0.2189,2026-04-16
USCA,3.0,2026-04-15,18.09,1.24,15.02,-19.36,0.07,0.05,2.67,0.0,2026-04-16
IYH,3.0,2026-04-15,3.43,1.31,13.96,-18.7,0.38,0.41,2.89,0.0835,2026-04-16
GSUS,3.0,2026-04-15,19.43,1.14,15.02,-19.31,0.07,0.11,2.74,-0.047,2026-04-16
FRDM,3.0,2026-04-15,27.66,2.09,20.42,-17.22,0.49,0.17,2.54,0.114,2026-04-16
FHLC,3.0,2026-04-15,4.03,1.44,13.84,-17.78,0.084,0.15,2.81,0.046,2026-04-16
DCOR,2.6,2026-04-15,18.17,1.04,15.4,-19.58,0.14,0.1,2.64,0.0,2026-04-16
SMMD,3.0,2026-04-15,14.71,1.22,19.31,-26.01,0.15,0.14,2.59,0.2739,2026-04-16
ILCG,3.0,2026-04-15,24.0,0.5,19.46,-23.2,0.04,0.08,2.53,0.0,2026-04-16
IXC,3.0,2026-04-15,10.82,2.68,19.58,-22.5,0.4,0.64,2.85,-0.0078,2026-04-16
REMX,3.0,2026-04-15,6.01,1.48,38.7,-63.05,0.58,0.4,2.59,0.1768,2026-04-16
PXF,3.0,2026-04-15,18.1,3.48,14.88,-14.8,0.43,0.08,2.59,-0.0177,2026-04-16
QTEC,3.0,2026-04-15,23.45,0.0,25.87,-29.01,0.55,0.17,2.63,-0.0781,2026-04-16
PRFZ,3.0,2026-04-15,14.41,0.95,20.52,-27.01,0.34,0.14,2.61,0.2578,2026-04-16
IYY,3.0,2026-04-15,18.88,1.01,15.12,-19.27,0.2,0.04,2.58,-0.249,2026-04-16
SQQQ,3.0,2026-04-15,-56.69,5.78,58.77,-92.41,0.95,16.06,2.56,-0.1818,2026-04-16
NUGO,3.0,2026-04-15,25.6,0.0,21.08,-25.12,0.56,0.11,2.49,0.4023,2026-04-16
WTV,3.0,2026-04-15,17.95,1.79,15.46,-19.12,0.12,0.08,2.6,0.3172,2026-04-16
MDYG,3.0,2026-04-15,14.46,0.7,18.66,-25.77,0.15,0.14,2.48,-0.0871,2026-04-16
CQQQ,3.0,2026-04-15,2.99,2.47,34.23,-37.57,0.65,0.55,2.49,-0.037,2026-04-16
AVSC,3.0,2026-04-15,14.81,1.02,21.73,-28.84,0.25,0.1,2.42,0.8851,2026-04-16
JMEE,3.0,2026-04-15,14.14,1.09,18.25,-26.1,0.24,0.1,2.38,0.0,2026-04-16
KOMP,3.0,2026-04-15,15.07,1.8,22.87,-25.38,0.2,0.11,2.35,0.0232,2026-04-16
FLIN,3.0,2026-04-15,8.15,0.67,14.44,-23.76,0.19,0.38,2.46,0.2591,2026-04-16
FUTY,3.0,2026-04-15,10.32,2.5,16.03,-19.87,0.084,0.25,2.44,0.1021,2026-04-16
ITB,3.0,2026-04-15,10.45,1.25,27.52,-33.88,0.38,2.46,2.39,-0.1982,2026-04-16
XSMO,3.0,2026-04-15,21.91,0.61,20.96,-25.19,0.36,0.21,2.28,0.2521,2026-04-16
MDYV,3.0,2026-04-15,10.84,1.87,18.19,-23.29,0.15,0.19,2.41,-0.0923,2026-04-16
IPAC,3.0,2026-04-15,12.66,4.14,16.93,-17.18,0.09,0.12,2.37,-0.0038,2026-04-16
SNPE,3.0,2026-04-15,19.19,1.05,15.17,-19.64,0.1,0.25,2.29,-0.0187,2026-04-16
NULG,3.0,2026-04-15,21.57,0.12,19.04,-22.4,0.26,0.07,2.31,-0.0843,2026-04-16
SECT,3.0,2026-04-15,16.76,0.71,16.74,-21.74,0.69,0.1,2.3,0.1419,2026-04-16
DIVI,3.0,2026-04-15,13.19,3.9,15.0,-14.7,0.09,0.18,2.26,-0.1102,2026-04-16
ARTY,3.0,2026-04-15,22.83,0.0,27.25,-32.44,0.47,0.26,2.08,0.0918,2026-04-16
EQWL,3.0,2026-04-15,14.98,1.71,13.11,-15.39,0.25,0.07,2.29,0.1463,2026-04-16
TSPA,3.0,2026-04-15,20.96,0.65,15.0,-19.04,0.34,0.14,2.09,0.3165,2026-04-16
USCL,2.8,2026-04-15,17.18,1.23,15.09,-19.23,0.08,0.07,2.1,0.0,2026-04-16
HDEF,3.0,2026-04-15,11.93,3.66,13.5,-11.42,0.09,0.2,2.23,-0.0431,2026-04-16
APUE,2.9,2026-04-15,20.59,0.87,14.83,-19.07,0.31,0.15,2.16,0.0,2026-04-16
FSMD,3.0,2026-04-15,14.24,1.37,17.49,-22.7,0.15,0.15,2.14,-0.0903,2026-04-16
ESML,3.0,2026-04-15,14.01,1.08,19.79,-27.17,0.17,0.15,2.14,0.2222,2026-04-16
URNM,3.0,2026-04-15,30.15,2.81,43.15,-52.13,0.75,0.66,2.14,0.2307,2026-04-16
IHDG,3.0,2026-04-15,8.3,1.97,13.91,-18.88,0.58,0.28,2.14,-0.1564,2026-04-16
EPI,3.0,2026-04-15,10.51,0.0,15.4,-22.1,0.84,0.89,2.09,0.1423,2026-04-16
ICLN,3.0,2026-04-15,-0.3,1.47,24.87,-46.93,0.39,3.29,2.16,0.104,2026-04-16
FNCL,3.0,2026-04-15,16.91,1.75,17.19,-17.65,0.084,0.12,2.18,-0.1079,2026-04-16
SCHY,3.0,2026-04-15,10.81,3.53,12.5,-13.64,0.08,0.28,2.12,-0.1239,2026-04-16
SPUS,3.0,2026-04-15,21.19,0.63,17.54,-22.97,0.45,0.27,2.04,-0.2405,2026-04-16
SKYY,3.0,2026-04-15,18.58,0.0,25.84,-31.8,0.6,0.2,2.35,-0.025,2026-04-16
EWW,3.0,2026-04-15,9.36,3.21,23.82,-33.84,0.5,2.16,2.13,0.0179,2026-04-16
ACIO,3.0,2026-04-15,13.3,0.42,9.99,-12.24,0.79,0.13,2.11,0.0,2026-04-16
PABU,3.0,2026-04-15,16.32,1.04,16.21,-21.24,0.1,0.07,2.25,0.396,2026-04-16
SPGP,3.0,2026-04-15,10.26,0.98,17.52,-23.52,0.36,0.24,2.09,-0.0009,2026-04-16
BSVO,3.0,2026-04-15,15.15,1.4,22.04,-29.8,0.45,0.19,2.05,0.95,2026-04-16
EPP,3.0,2026-04-15,8.31,3.59,17.16,-20.99,0.47,0.36,2.04,0.0191,2026-04-16
QGRW,3.0,2026-04-15,27.82,0.09,21.19,-24.5,0.28,0.16,2.09,0.3516,2026-04-16
MLPA,3.0,2026-04-15,7.57,7.14,14.48,-14.93,0.77,0.16,2.17,0.1033,2026-04-16
QGRO,3.0,2026-04-15,20.6,0.21,18.22,-23.89,0.29,0.08,2.02,-0.0704,2026-04-16
JIVE,2.6,2026-04-15,27.71,2.14,15.07,-13.79,0.55,0.06,1.93,0.0272,2026-04-16
GUSA,3.0,2026-04-15,18.91,1.11,14.93,-19.85,0.1,0.0,2.04,0.0,2026-04-16
BGIG,2.6,2026-04-15,13.53,1.85,12.11,-14.11,0.45,0.02,2.04,0.0,2026-04-16
FTHI,3.0,2026-04-15,5.14,8.99,11.87,-18.15,0.76,0.32,2.04,0.3363,2026-04-16
FWD,3.0,2026-04-15,33.84,0.11,24.93,-29.02,0.65,0.07,1.84,0.8519,2026-04-16
OIH,3.0,2026-04-15,12.09,1.2,31.25,-45.7,0.35,0.51,2.34,-0.0421,2026-04-16
COWG,3.0,2026-04-15,19.76,0.35,19.54,-23.61,0.49,0.32,2.1,-0.0288,2026-04-16
FAS,3.0,2026-04-15,29.02,11.78,48.47,-43.26,0.88,0.75,1.94,0.0772,2026-04-16
JMOM,3.0,2026-04-15,22.72,0.88,16.44,-19.66,0.12,0.07,1.91,-0.0673,2026-04-16
PHO,3.0,2026-04-15,10.26,0.58,16.34,-19.42,0.59,0.07,1.98,0.0433,2026-04-16
ICF,3.0,2026-04-15,6.14,2.67,17.02,-18.97,0.32,0.13,1.95,-0.1756,2026-04-16
DES,3.0,2026-04-15,9.96,2.54,19.5,-25.66,0.38,0.14,1.94,0.2963,2026-04-16
QDF,3.0,2026-04-15,14.95,1.69,14.23,-18.79,0.39,0.04,1.97,0.0865,2026-04-16
CGIE,2.5,2026-04-15,15.88,1.2,15.35,-14.06,0.54,0.21,1.87,0.0,2026-04-16
BBMC,3.0,2026-04-15,15.71,1.25,18.71,-24.76,0.07,0.04,1.85,-0.0946,2026-04-16
FIDU,3.0,2026-04-15,21.27,1.04,17.11,-21.19,0.084,0.08,1.85,0.1727,2026-04-16
IWL,3.0,2026-04-15,20.51,0.96,15.35,-19.36,0.15,0.07,1.92,-0.2286,2026-04-16
IYJ,3.0,2026-04-15,16.49,0.83,16.28,-20.05,0.38,0.07,1.98,-0.0007,2026-04-16
TCHP,3.0,2026-04-15,26.16,0.0,19.95,-22.92,0.57,0.12,1.83,-0.2586,2026-04-16
DFSU,3.0,2026-04-15,18.05,0.94,15.76,-20.33,0.15,0.1,1.86,0.0,2026-04-16
IYG,3.0,2026-04-15,19.07,1.18,18.06,-18.76,0.38,0.09,1.91,0.0717,2026-04-16
NULV,3.0,2026-04-15,11.35,1.62,12.89,-16.77,0.26,0.13,1.89,0.1813,2026-04-16
XSOE,3.0,2026-04-15,16.3,1.65,17.47,-20.29,0.32,0.29,1.76,0.0784,2026-04-16
ARKQ,3.0,2026-04-15,37.61,0.27,30.54,-30.76,0.75,0.15,1.83,0.0636,2026-04-16
EWP,3.0,2026-04-15,26.77,2.27,18.87,-13.93,0.5,0.44,1.81,-0.0946,2026-04-16
TILT,3.0,2026-04-15,17.59,1.21,15.53,-20.34,0.25,0.01,1.86,0.3527,2026-04-16
PICK,3.0,2026-04-15,13.25,2.61,25.47,-34.45,0.39,0.34,1.76,0.1776,2026-04-16
PXH,3.0,2026-04-15,14.9,3.81,17.6,-18.97,0.47,0.24,1.82,0.2927,2026-04-16
TMFC,3.0,2026-04-15,26.23,0.16,17.61,-20.37,0.5,0.1,1.78,-0.2674,2026-04-16
PSC,3.0,2026-04-15,15.24,0.67,20.08,-23.78,0.38,0.07,1.77,0.2433,2026-04-16
USD,3.0,2026-04-15,116.71,0.5,76.95,-64.53,0.95,1.27,1.48,0.1633,2026-04-16
XSD,3.0,2026-04-15,25.84,0.25,37.17,-41.37,0.35,0.06,1.62,0.0563,2026-04-16
FIW,3.0,2026-04-15,9.66,0.8,16.5,-18.62,0.51,0.04,1.78,0.1558,2026-04-16
FLQL,3.0,2026-04-15,20.45,1.16,15.41,-19.51,0.15,0.07,1.65,0.0608,2026-04-16
DSTL,3.0,2026-04-15,10.81,1.29,13.63,-17.58,0.39,0.12,1.8,0.0316,2026-04-16
HEDJ,3.0,2026-04-15,9.87,1.67,15.74,-15.93,0.58,0.12,1.7,-0.0748,2026-04-16
JPEF,2.7,2026-04-15,16.85,0.73,15.22,-18.1,0.44,0.09,1.71,0.0,2026-04-16
LIT,3.0,2026-04-15,8.37,0.43,31.04,-53.78,0.75,0.38,1.7,0.1101,2026-04-16
FTXL,3.0,2026-04-15,43.28,0.23,35.52,-41.77,0.6,0.11,1.48,0.1423,2026-04-16
RWR,3.0,2026-04-15,6.81,3.69,17.23,-20.51,0.25,0.29,1.7,-0.2191,2026-04-16
DGS,3.0,2026-04-15,11.28,3.58,14.67,-20.29,0.58,0.2,1.64,0.4493,2026-04-16
REGL,3.0,2026-04-15,8.67,2.26,15.41,-18.11,0.4,0.06,1.66,-0.0489,2026-04-16
HACK,3.0,2026-04-15,15.29,0.08,22.34,-21.9,0.6,0.11,1.88,-0.0393,2026-04-16
FLTW,3.0,2026-04-15,27.98,2.34,22.91,-27.52,0.19,0.1,1.44,0.006,2026-04-16
ICOW,3.0,2026-04-15,13.07,2.29,15.21,-15.89,0.65,0.24,1.64,-0.1607,2026-04-16
IEV,3.0,2026-04-15,12.2,2.76,15.38,-14.63,0.6,0.32,1.63,-0.0805,2026-04-16
TMSL,2.8,2026-04-15,17.4,0.56,18.48,-24.72,0.55,0.12,1.55,-0.969,2026-04-16
USPX,3.0,2026-04-15,19.09,1.2,15.34,-19.4,0.03,0.07,1.53,-0.0389,2026-04-16
FDIS,3.0,2026-04-15,15.71,0.79,21.03,-27.73,0.084,0.09,1.64,-0.0178,2026-04-16
IDU,3.0,2026-04-15,11.25,2.13,15.32,-18.33,0.38,0.12,1.65,0.0274,2026-04-16
IYT,3.0,2026-04-15,11.74,1.07,21.34,-26.76,0.38,0.54,0.91,-0.0355,2026-04-16
PWB,3.0,2026-04-15,29.28,0.0,18.93,-22.1,0.55,0.03,1.56,0.1006,2026-04-16
RPV,3.0,2026-04-15,12.3,2.41,15.93,-16.01,0.35,0.23,1.65,0.024,2026-04-16
RWJ,3.0,2026-04-15,13.03,1.13,22.72,-29.68,0.39,0.15,1.64,0.29,2026-04-16
FCOM,3.0,2026-04-15,25.82,1.0,18.23,-21.35,0.084,0.12,1.61,0.0874,2026-04-16
FLQM,3.0,2026-04-15,9.1,1.56,14.76,-20.22,0.3,0.12,1.67,-0.0892,2026-04-16
DFEV,3.0,2026-04-15,17.13,2.56,15.73,-18.78,0.43,0.14,1.49,0.0701,2026-04-16
GSEW,3.0,2026-04-15,13.71,1.56,14.49,-18.85,0.09,0.06,1.59,-0.1886,2026-04-16
XCEM,3.0,2026-04-15,18.55,3.18,16.95,-21.04,0.16,0.19,1.47,0.0,2026-04-16
DFAR,3.0,2026-04-15,5.57,2.98,16.87,-19.36,0.19,0.41,1.56,-0.0673,2026-04-16
EMGF,3.0,2026-04-15,16.9,2.44,17.44,-19.65,0.26,0.1,1.49,-0.119,2026-04-16
ROBO,3.0,2026-04-15,12.32,0.43,21.85,-27.92,0.95,0.09,1.48,0.1249,2026-04-16
VIOV,3.0,2026-04-15,10.2,1.76,21.63,-29.04,0.1,0.06,1.66,0.2201,2026-04-16
PKW,3.0,2026-04-15,17.17,0.94,15.61,-21.27,0.62,0.05,1.56,0.1797,2026-04-16
RPG,3.0,2026-04-15,19.53,0.22,21.19,-24.81,0.35,0.31,1.5,0.0792,2026-04-16
IYE,3.0,2026-04-15,9.38,2.05,21.27,-21.45,0.38,0.65,1.69,-0.029,2026-04-16
XNTK,3.0,2026-04-15,34.91,0.25,25.11,-28.14,0.35,0.02,1.45,0.0018,2026-04-16
QQEW,3.0,2026-04-15,9.93,0.35,17.91,-21.52,0.55,0.09,1.57,-0.184,2026-04-16
JEMA,3.0,2026-04-15,16.4,2.78,18.31,-20.03,0.33,0.09,1.38,0.0619,2026-04-16
ARKW,3.0,2026-04-15,36.61,1.95,35.35,-37.18,0.76,0.24,1.51,-0.0039,2026-04-16
DTD,3.0,2026-04-15,13.35,1.98,12.18,-15.0,0.28,0.03,1.49,0.1006,2026-04-16
EWL,3.0,2026-04-15,9.56,1.74,14.64,-14.79,0.5,0.54,1.49,0.0363,2026-04-16
MISL,3.0,2026-04-15,28.42,0.37,18.97,-18.37,0.6,0.11,1.44,0.2148,2026-04-16
PSI,3.0,2026-04-15,43.44,0.08,37.63,-41.11,0.56,0.08,1.27,0.1225,2026-04-16
EUSA,3.0,2026-04-15,12.06,1.68,14.59,-18.81,0.09,0.06,1.5,0.064,2026-04-16
IAI,3.0,2026-04-15,23.83,1.18,20.22,-23.39,0.38,0.12,1.54,0.0333,2026-04-16
IMCB,3.0,2026-04-15,13.4,1.38,15.31,-20.4,0.04,0.03,1.44,-0.0879,2026-04-16
SPGM,3.0,2026-04-15,17.15,1.93,14.42,-16.9,0.09,0.09,1.42,-0.0319,2026-04-16
XHB,3.0,2026-04-15,16.11,0.79,26.1,-30.87,0.35,2.58,1.45,-0.2007,2026-04-16
ASHR,3.0,2026-04-15,4.71,2.36,24.04,-33.86,0.65,6.45,1.46,-0.0224,2026-04-16
HFXI,3.0,2026-04-15,15.16,4.44,14.0,-13.52,0.2,0.15,1.38,-0.1363,2026-04-16
INFL,3.0,2026-04-15,18.57,0.91,16.54,-16.38,0.85,0.16,1.47,0.046,2026-04-16
IVOG,3.0,2026-04-15,14.55,0.62,18.81,-26.18,0.1,0.02,1.58,-0.0952,2026-04-16
USVM,3.0,2026-04-15,16.06,1.91,18.28,-24.77,0.29,0.04,1.42,-0.2484,2026-04-16
TAN,3.0,2026-04-15,-11.08,0.0,37.98,-66.8,0.7,1.02,1.48,0.228,2026-04-16
IYM,3.0,2026-04-15,11.62,1.32,18.14,-24.2,0.38,0.06,1.25,0.0171,2026-04-16
RODM,3.0,2026-04-15,15.32,2.96,12.26,-10.59,0.29,0.13,1.41,-0.0847,2026-04-16
VFMO,3.0,2026-04-15,24.38,0.75,21.49,-24.74,0.13,0.03,1.34,-0.0967,2026-04-16
BAI,,2026-04-16,,,,,,,,-0.0995,2026-04-16
QQQI,,2026-04-16,,,,,,,,0.0691,2026-04-16
FENI,,2026-04-16,,,,,,,,0.808,2026-04-16
FNGU,,2026-04-16,,,,,,,,-0.2059,2026-04-16
FELC,,2026-04-16,,,,,,,,0.1131,2026-04-16
AKRE,,2026-04-16,,,,,,,,0.1526,2026-04-16
FMDE,,2026-04-16,,,,,,,,0.5284,2026-04-16
FELG,,2026-04-16,,,,,,,,0.2192,2026-04-16
BLCR,,2026-04-16,,,,,,,,0.8819,2026-04-16
FESM,,2026-04-16,,,,,,,,0.4049,2026-04-16
GRNY,,2026-04-16,,,,,,,,0.3132,2026-04-16
EAGL,,2026-04-16,,,,,,,,-0.0199,2026-04-16
QLTY,,2026-04-16,,,,,,,,0.4514,2026-04-16
MSLC,,2026-04-16,,,,,,,,0.0,2026-04-16
IDEF,,2026-04-16,,,,,,,,-0.3419,2026-04-16
