ETF,Years_Data,Date,Return_CAGR (%),Return_Div (%),Risk_Vol (%),Risk_MaxDD (%),Cost_ExpRatio (%),Liq_Volume (M),Liq_AUM (B),FinBERT_score,FinBERT_date
IDEV,3.0,2026-04-14,12.68,3.37,14.96,-13.5,0.04,1.13,27.53,-0.0838,2026-04-16
TQQQ,3.0,2026-04-14,54.95,0.75,58.59,-58.3,0.82,144.82,24.59,-0.0865,2026-04-16
IUSG,3.0,2026-04-14,23.31,0.58,18.61,-22.38,0.04,0.51,25.97,0.3024,2026-04-16
EEM,3.0,2026-04-14,15.53,2.16,17.67,-18.67,0.72,29.08,24.91,-0.0239,2026-04-16
VXF,3.0,2026-04-14,16.49,1.18,20.1,-27.38,0.05,0.42,81.52,-0.0811,2026-04-16
XLU,3.0,2026-04-14,10.51,2.59,16.14,-19.69,0.08,25.61,24.42,-0.279,2026-04-16
MDY,3.0,2026-04-14,12.77,1.16,18.16,-24.5,0.23,0.91,24.22,-0.1028,2026-04-16
SOXX,3.0,2026-04-14,41.08,0.51,35.24,-41.67,0.34,4.56,20.59,0.0719,2026-04-16
IUSV,3.0,2026-04-14,12.53,1.81,13.07,-18.56,0.04,0.72,24.08,0.1395,2026-04-16
XLC,3.0,2026-04-14,24.87,1.26,16.94,-18.21,0.08,5.54,24.11,-0.3461,2026-04-16
AVUV,3.0,2026-04-14,16.19,1.41,21.56,-29.36,0.25,0.81,23.43,-0.2399,2026-04-16
FNDX,3.0,2026-04-14,16.11,1.62,13.33,-17.01,0.25,2.76,23.67,0.1109,2026-04-16
FNDF,3.0,2026-04-14,17.12,3.25,15.0,-14.48,0.25,1.17,21.24,0.0004,2026-04-16
USMV,3.0,2026-04-14,8.34,1.59,10.48,-9.68,0.15,2.52,22.56,0.1664,2026-04-16
DVY,3.0,2026-04-14,8.88,3.46,14.34,-17.46,0.38,0.52,22.29,0.0093,2026-04-16
MTUM,3.0,2026-04-14,22.97,0.82,19.85,-21.2,0.15,0.77,20.24,0.1496,2026-04-16
VOOG,3.0,2026-04-14,23.85,0.54,18.86,-22.3,0.07,0.19,20.82,0.0536,2026-04-16
XLY,3.0,2026-04-14,15.87,0.82,20.72,-26.35,0.08,9.17,21.45,-0.298,2026-04-16
AVEM,3.0,2026-04-14,17.55,2.45,17.47,-19.75,0.33,0.71,19.94,0.0818,2026-04-16
VOE,3.0,2026-04-14,12.49,1.99,14.08,-19.47,0.05,0.33,34.67,-0.0796,2026-04-16
VBK,3.0,2026-04-14,14.48,0.52,20.99,-27.76,0.05,0.25,38.69,0.2205,2026-04-16
RDVY,3.0,2026-04-14,17.13,1.03,17.0,-19.84,0.47,0.94,19.85,0.1435,2026-04-16
SCHA,3.0,2026-04-14,14.75,1.17,20.47,-27.9,0.04,2.58,19.8,0.2582,2026-04-16
SDY,3.0,2026-04-14,6.2,2.53,12.4,-15.57,0.35,0.32,20.67,-0.0265,2026-04-16
CGGR,3.0,2026-04-14,23.84,0.11,19.06,-23.37,0.39,1.98,19.47,0.4242,2026-04-16
EMXC,3.0,2026-04-14,19.64,2.64,16.98,-20.5,0.25,2.11,17.54,0.0229,2026-04-16
EWJ,3.0,2026-04-14,14.88,4.33,19.0,-15.99,0.49,6.51,18.33,-0.1867,2026-04-16
DFIV,3.0,2026-04-14,18.57,2.73,14.78,-15.02,0.27,0.92,18.02,0.2989,2026-04-16
IYW,3.0,2026-04-14,29.3,0.15,23.39,-26.51,0.38,0.92,17.69,-0.0406,2026-04-16
IWP,3.0,2026-04-14,13.82,0.36,19.35,-25.26,0.23,0.89,18.66,-0.2296,2026-04-16
VYMI,3.0,2026-04-14,15.78,3.64,14.05,-13.53,0.07,0.63,18.79,-0.0011,2026-04-16
DFUS,3.0,2026-04-14,18.85,0.97,15.28,-19.61,0.09,0.41,17.96,0.0,2026-04-16
AVDV,3.0,2026-04-14,21.2,3.0,16.15,-14.17,0.36,0.52,17.26,0.076,2026-04-16
OEF,3.0,2026-04-14,21.26,0.98,15.95,-19.97,0.2,0.45,17.84,0.0427,2026-04-16
EWY,3.0,2026-04-14,30.87,1.69,28.77,-29.06,0.59,5.28,15.74,0.066,2026-04-16
IWV,3.0,2026-04-14,18.35,0.99,15.24,-19.48,0.2,0.19,17.05,0.0569,2026-04-16
COWZ,3.0,2026-04-14,9.09,2.06,15.35,-22.64,0.49,2.04,18.17,0.1645,2026-04-16
VONV,3.0,2026-04-14,13.27,1.82,13.13,-16.54,0.06,0.68,18.28,0.2152,2026-04-16
SPYG,3.0,2026-04-15,24.7,0.58,18.91,-22.25,0.04,2.67,41.63,-0.2204,2026-04-16
VOT,3.0,2026-04-15,12.61,0.72,17.8,-21.91,0.05,0.19,29.25,-0.073,2026-04-16
SPEM,3.0,2026-04-15,13.4,2.84,15.97,-18.92,0.07,1.94,15.67,0.0613,2026-04-16
SPHQ,3.0,2026-04-15,18.7,1.19,14.16,-16.82,0.15,1.12,15.73,0.0569,2026-04-16
SPMD,3.0,2026-04-15,12.71,1.37,18.06,-24.63,0.03,1.47,15.63,-0.2246,2026-04-16
VHT,3.0,2026-04-15,3.96,1.72,13.84,-17.84,0.09,0.23,18.59,0.0377,2026-04-16
FTEC,3.0,2026-04-15,26.91,0.46,23.53,-27.48,0.084,0.3,15.05,-0.0655,2026-04-16
DGRW,3.0,2026-04-15,13.54,1.43,12.75,-16.79,0.28,0.68,15.37,0.1326,2026-04-16
BBJP,3.0,2026-04-15,14.67,5.13,18.94,-16.84,0.19,1.53,15.01,-0.2933,2026-04-16
