ETF,DEA_Score,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity
XLK,0.6405,0.5815025630282002,0.1625,0.485686610814967,1.0,0.1
XLU,0.6335,0.3476160279489529,0.1625,0.5032555524880409,0.8631630401699709,0.1
FNDX,0.6333,0.251365604953082,0.375,0.4755728325429467,0.6439951060708256,1.0
XLC,0.6175,0.3372433885563823,0.1625,0.5506352206288347,0.745998012465025,0.1
DVY,0.6008,0.2773167420313387,0.5375,0.5714148652902413,0.4686826971439738,0.7370350534236672
XLE,0.5934,0.4837584245164776,0.1625,0.4746320186596624,0.918471019692705,0.1
VBK,0.5899,0.5717500528290981,0.125,0.3422548726178743,0.4251317649700727,0.7095359237340333
JEPQ,0.5835,0.3674268035599913,0.5,0.6685729692910257,0.7505723149953534,0.3842219425327371
MGK,0.5819,0.4810472978370206,0.125,0.4579541390805369,0.4831145546884776,0.2918793348150925
VNQ,0.5797,0.3594944191776524,0.225,0.5672465709774134,0.7479629969709923,0.1
SDY,0.5735,0.2101968147140112,0.5,0.4420729267185105,0.4332199868242742,0.9076091904774656
ACWI,0.5487,0.2627187687443449,0.4625,0.4805508560945781,0.6966009564628011,0.6945572128645263
QQQ,0.5253,0.4655527820783367,0.2875,0.4717575030832822,1.0,0.3074244168920548
DFUS,0.525,0.3306247739786011,0.175,0.4440901672970839,0.4368650736531338,0.7128618482714297
VONG,0.5197,0.4656662148659266,0.1375,0.4499197766104022,0.6091257802020137,0.340912620839247
XLY,0.519,0.5430923231151086,0.1625,0.3906894296315026,0.8107794152746222,0.1019521730980371
DYNF,0.5137,0.3300195948752507,0.3875,0.5115309527986913,0.6258142409431782,0.4458117987306859
IWR,0.5127,0.3788599190171681,0.2875,0.4096370241553871,0.6719359447892894,0.9715006828589028
IWB,0.5101,0.3219342511920132,0.25,0.4493354688394991,0.6027212829634561,0.7352515866427444
QUAL,0.5027,0.3011109814085145,0.25,0.4256998276458173,0.6543903297312583,0.6602977800390971
VOOG,0.4912,0.4410504013196019,0.15,0.4639716673461069,0.422458557794972,0.3978871542189969
DFAC,0.4899,0.3440573482552237,0.275,0.4277482429161915,0.6802569860607619,0.8451034999866107
OEF,0.4757,0.3488753756130717,0.3125,0.4758928230479857,0.4346326027619158,0.4545001740620732
VGT,0.4373,0.6091493099176375,0.175,0.4818422546404042,0.6222405038751921,0.1
IWM,0.4349,0.578136764005339,0.3,0.3951792818919741,1.0,0.8323782234957021
IVW,0.4189,0.439676109519985,0.2875,0.452977102437212,0.7607576504246502,0.3896687464852851
QQQM,0.4185,0.4625278396638689,0.25,0.4763592823564017,0.7746309143235579,0.3138714082960662
MTUM,0.4061,0.4405336837239903,0.25,0.4813688869738424,0.4948123927010425,0.5356238116916157
IWF,0.3746,0.4670539998707412,0.2875,0.4385420590648496,0.7150390877130408,0.3256929009452909
RDVY,0.3502,0.3657861741348736,0.6499999999999999,0.4282591130984018,0.5042599599621882,0.5832230940202984
MDY,0.3476,0.46536785300367,0.35,0.3858697177829266,0.5249985151673815,0.8069638218675522
CGGR,0.2999,0.4627087384774472,0.55,0.4198666770732815,0.5862138214165704,0.688278927777629
IWP,0.2898,0.4998141132844668,0.35,0.3174618782477669,0.4858838305179015,0.7095359237340333
IYW,0.2892,0.5943559370465956,0.5375,0.4936913660359054,0.4891448025236812,0.1430080604129288
AVUV,0.2828,0.6090648242079992,0.375,0.4551173001800947,0.5151788169090583,0.7149586267841364
SMH,0.2343,0.950975754348688,0.5,0.5796590909090908,0.8878718748904395,0.1110743646734327
SOXX,0.2283,0.9961799660441426,0.4875,0.6021590909090909,0.7163008829209494,0.1075917842701443
