ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
COWZ,0.3829273102473201,0.6749999999999999,0.4309151155650276,0.5655843661373393,,0.7099068251407505
VONV,0.23981205821439827,0.1375,0.4597555950605562,0.4542886825115712,,0.7850228821650813
SPYG,0.44111786734559016,0.1125,0.47891856780898623,0.7182709304368811,0.4076359692579601,0.13964705495012017
VOT,0.4152002113890096,0.125,0.3388262370540852,0.39012059721563164,,0.35803180456326356
SPEM,0.33155580513723953,0.15000000000000002,0.5657341049709217,0.5537695606270435,,0.55700786883087
SPHQ,0.26326398409825996,0.25,0.46467440411379507,0.491401596193536,,0.5504889210812238
SPMD,0.46573816047265154,0.1,0.40658068523688384,0.518408491651392,,0.13342442300727622
VHT,0.2746211236876236,0.175,0.33062328742382097,0.38916350148954093,,0.5220426036282227
FTEC,0.613238704194812,0.16750000000000004,0.49487141810338164,0.39728282258317926,,0.36914364731834215
DGRW,0.23710994515940226,0.4125,0.4233176051541125,0.44237649915154004,,0.6626444539558164
BBJP,0.3505520595360335,0.30000000000000004,0.7414996878015554,0.5177758359411277,,0.1
DFAI,0.21132576436987777,0.2875,0.542451022256395,0.48409158350589143,,0.35906890988707096
ESGU,0.33053732003613434,0.25,0.4484424329289375,0.44434369496000536,,0.42025812399170337
AVDE,0.21850107237622746,0.35,0.5834730270864403,0.4138468490120323,,0.31269548612254316
IWY,0.4690619685320118,0.3125,0.45986990226382585,0.4034480520871336,,0.6402726105422583
EFG,0.31645359989455973,0.48750000000000004,0.4747735529215066,0.47145558409595395,,0.21476311197445108
VTWO,0.5808313747837819,0.1375,0.4201078890740865,0.5547278235572084,,0.5776018174036154
IWS,0.36287315316008784,0.35,0.4221730817856719,0.4064627892811286,,0.12127547492839034
SPSM,0.5785395450307245,0.1,0.4109447937684158,0.5249838891534679,,0.10349652652026473
XLP,0.1877433860147762,0.1625,0.4072178796823316,0.7910124268226004,,0.1
GSLC,0.31296736959019145,0.175,0.4384794774675289,0.38156319485271173,,0.29713890626543327
SCZ,0.2723133362791758,0.5625000000000001,0.5879993949542539,0.47836426850464686,,0.1
ITA,0.33311105021342235,0.5375,0.49602383673827455,0.4149697066957165,,0.6291607677871798
DFUV,0.29824795745641874,0.325,0.438907040977981,0.38628140691876084,,0.466187074046028
DFIC,0.20748574249754193,0.3375,0.554969315537162,0.4543509835271209,,1.0
SCHM,0.4463026756939675,0.1125,0.42242160851863136,0.467380487888591,,0.33877127712112753
SOXL,1.0,1.0,0.5663636363636364,0.7836377539328089,,0.42277680834952125
HDV,0.1174266310938637,0.1625,0.5149104171074428,0.4057868606270042,,0.6783491917163275
DFAS,0.5274548692452592,0.38750000000000007,0.37231784123806033,0.3958404373781592,,0.8770289401771315
SPMO,0.4103052550610639,0.225,0.5964512776914861,0.44574879468493206,,0.13905442333651602
DFAT,0.5420138742645682,0.4125,0.43955056324727665,0.3785087946036575,,0.9647384189905516
IWN,0.5610925447794685,0.36250000000000004,0.45028574543184013,0.45971540191301324,,0.11045994798011391
IWO,0.6162071548753087,0.36250000000000004,0.34429440571348957,0.3898550123322642,,0.10734863200869194
IQLT,0.23192715194156924,0.4375000000000001,0.48036450458493085,0.4895717839175742,,0.3624765416652951
PAVE,0.5363547886037288,0.6499999999999999,0.5232641895483185,0.4581498692246574,,0.6232344516511379
VFH,0.3319960975453895,0.175,0.48285174573113787,0.3963139130221901,,0.6199749777763149
SPTM,0.31581040562580875,0.1,0.46263191029326023,0.4015652419835788,,0.7008691930332867
AMLP,0.27047478835682986,1.0,0.6750865641142079,0.47751917335828503,,0.5414512889737599
SCHE,0.34953004795647613,0.15000000000000002,0.5662548442361974,0.47701382672539727,,0.535524972837718
ESGV,0.3643698913717557,0.175,0.44984140448017673,0.3484347267180038,,0.5128568136173579
MOAT,0.3860402103868905,0.6375000000000001,0.3912624750370252,0.4229645918126105,,0.5373028676785306
MGV,0.17874352707391428,0.125,0.4835347443326952,0.347520034561558,,0.5601191848022918
AVUS,0.345027851464183,0.25,0.4458851212929661,0.36120679777131603,,0.5730089223981829
DFAX,0.2249472435192676,0.4125,0.5637857738135169,0.3990430813609092,,1.0
VSS,0.2879007931263353,0.1375,0.600906762321518,0.3601553318264307,,0.1667599512725118
ESGD,0.2365357827275355,0.3125,0.6212375378637369,0.36004665036300987,,0.3328449609850856
NOBL,0.22893865888160617,0.5,0.3937572050756759,0.3917164617412506,,0.5657491851315316
AVLV,0.34167957590760756,0.25,0.45637473746948976,0.3653377665446125,,0.6779047180061243
DUHP,0.2806909964330374,0.3125,0.4134497992641406,0.4245405161261716,,0.466187074046028
VLUE,0.3336847088626531,0.25,0.5445778096569945,0.3741106915940629,,0.8783623613077411
DFAU,0.32980269602681617,0.21250000000000002,0.4449901115657914,0.39101985638530445,,0.5130049715207589
ACWX,0.23922988972334255,0.4625,0.5676439467043712,0.4631504616037373,,0.4537418101603401
EWZ,0.793334869492158,0.7999999999999999,0.7084129482369819,0.7548796148426382,,0.6293089256905808
SDVY,0.5312069333924923,0.7875,0.4151032189981785,0.44010515251654364,,0.346771803904784
IGF,0.23369521114211064,0.55,0.5565502845908137,0.3862172609059466,,0.21846705955947726
BBCA,0.21994982869574942,0.30000000000000004,0.5109742784603715,0.3416104194938215,,0.27787837882329713
VDE,0.4946717996822267,0.175,0.4674630586675061,0.37368136667415297,,0.33002996082046576
IGV,0.7839172249728048,0.55,0.22636373956973377,0.6475124967796748,,0.30336153820827727
IJK,0.5007696119403202,0.275,0.35363160325512033,0.3440830088465002,,0.39092285911829605
PBUS,0.3228167966758697,0.1125,0.4667129503011038,0.3429084260814923,,0.5564152372172657
GDXJ,0.9216878742514971,0.7,0.7780681818181818,0.6361332659522227,,0.8359892009350415
FNDA,0.5275223352712475,0.375,0.39060020150990526,0.39337210607186507,,0.7396865637243608
SCHH,0.35859138199468155,0.15000000000000002,0.4861848253494816,0.6325073656673821,,0.1840944259704343
CGUS,0.2927772728857105,0.4750000000000001,0.46210130194491894,0.3963511532780354,,0.466187074046028
EZU,0.28570246270737687,0.6875,0.5788969074292909,0.5026437440166938,,0.3555131202054458
