date,DIA,VO,XLF,DGRO,ITOT,VYM,XLV,SCHG,SPYG,VTV,RSP,VTI,IVV,IWD,VIG,SPY,SCHB,VUG,SCHD,SPYV,VOO,VV,IJH,VB,SCHX,SCHF,JEPI,IUSV,USMV,VOE,FNDF
2023-05-04,315.0953369140625,194.0795440673828,30.05902671813965,46.1252326965332,85.66796875,94.4344482421875,125.94747161865234,15.984827995300291,53.64425659179688,126.97449493408205,133.85328674316406,193.03160095214844,390.6319885253906,141.2464599609375,145.8035888671875,389.8590087890625,15.093500137329102,243.1740264892578,20.812442779541016,37.85982894897461,357.4444274902344,177.72801208496094,46.095001220703125,173.40960693359375,15.30792999267578,16.064586639404297,43.088172912597656,68.52164459228516,69.14850616455078,122.06749725341797,28.360334396362305
2023-05-05,320.23065185546875,197.2641448974609,30.80216789245605,46.85294342041016,87.31227111816406,95.9675064086914,127.07945251464844,16.327707290649414,54.76836395263672,128.96864318847656,136.1085968017578,196.59483337402344,397.7752685546875,143.5135040283203,148.06790161132812,397.0763244628906,15.388382911682127,248.23541259765625,21.16120719909668,38.44373321533203,364.0047607421875,180.9491271972656,47.06190872192383,177.37026977539062,15.590106964111328,16.30963897705078,43.54977416992188,69.62515258789062,69.9469223022461,124.37542724609375,28.92538833618164
2023-05-08,319.7457275390625,197.12112426757807,30.84979820251465,46.7596435546875,87.34112548828125,95.89405822753906,126.80363464355467,16.369646072387695,54.82700729370117,128.84751892089844,135.86117553710938,196.80616760253903,397.9864501953125,143.5796356201172,147.8594512939453,397.1821899414063,15.388382911682127,248.9444122314453,21.050912857055664,38.44373321533203,364.2064208984375,181.083740234375,46.933372497558594,177.09283447265625,15.6061372756958,16.318714141845703,43.53385543823242,69.61570739746094,69.80436706542969,124.0577392578125,28.916418075561523
2023-05-09,319.3177490234375,196.5204467773437,30.7354679107666,46.563724517822266,87.01419067382812,95.4993133544922,125.95700073242188,16.288240432739258,54.57286834716797,128.3536834716797,135.35684204101562,195.9994201660156,396.3638916015625,143.00343322753906,147.32887268066406,395.4403381347656,15.337099075317385,247.8218536376953,20.973407745361328,38.28362655639648,362.6312255859375,180.28567504882807,46.74920272827149,176.6336212158203,15.54200553894043,16.246109008789062,43.41446304321289,69.3233413696289,69.6332778930664,123.57185363769531,28.898479461669922
2023-05-10,319.0514221191406,196.9781188964844,30.56398200988769,46.5823860168457,87.40843963623047,95.28817749023438,126.3089370727539,16.46584701538086,54.93453979492188,128.13002014160156,135.33779907226562,196.86380004882807,398.0344848632813,142.87118530273438,147.50889587402344,397.2880554199219,15.401204109191896,250.41163635253903,20.931676864624023,38.36839294433594,364.2160034179688,181.26644897460932,46.83168411254883,177.02589416503906,15.609344482421877,16.232492446899414,43.51794052124024,69.4648208618164,69.9469223022461,123.29154968261719,28.826725006103516
2023-05-11,316.99725341796875,195.99606323242188,30.516338348388672,46.3864631652832,87.16804504394531,94.8016357421875,125.91893768310548,16.502853393554688,54.9638557434082,127.5895538330078,134.66213989257812,196.60446166992188,397.4391784667969,142.1438446044922,147.044677734375,396.59515380859375,15.36915111541748,250.59878540039065,20.83926773071289,38.21770095825195,363.7069396972656,180.96836853027344,46.53624725341797,175.95436096191406,15.58689785003662,16.159883499145508,43.46222686767578,69.20072174072266,69.7568359375,122.58142852783203,28.620437622070312
2023-05-12,316.8735656738281,195.92926025390625,30.392486572265625,46.395790100097656,87.0238037109375,94.82918548583984,125.74772644042967,16.45351219177246,54.91498565673828,127.5615692138672,134.6716766357422,196.14344787597656,396.9207458496094,142.03045654296875,147.14889526367188,396.0755310058594,15.337099075317385,249.78143310546875,20.880998611450195,38.12352752685547,363.2170715332031,180.69911193847656,46.54199981689453,175.79176330566406,15.564454078674316,16.123580932617188,43.48609924316406,69.04039001464844,69.82337188720703,122.57206726074219,28.602497100830078
2023-05-15,317.41583251953125,197.2641448974609,30.640195846557617,46.498416900634766,87.44689178466797,95.07704162597656,125.5289306640625,16.515188217163086,54.9931755065918,127.98088073730467,135.43295288085938,196.97906494140625,398.236083984375,142.6916961669922,147.3572998046875,397.4419860839844,15.40761375427246,250.74644470214844,20.92571830749512,38.34013748168945,364.475341796875,181.3144989013672,46.929534912109375,177.8199462890625,15.622170448303224,16.259723663330078,43.54180908203125,69.41765594482422,69.79485321044922,123.10467529296875,28.844661712646484
2023-05-16,314.163330078125,194.0604705810547,30.35437393188477,45.9759635925293,86.73532104492188,93.73676300048828,124.48255157470705,16.50778579711914,54.81723403930664,126.38744354248048,133.52020263671875,195.45193481445312,395.5766296386719,140.90640258789062,145.98361206054688,394.7860412597656,15.295432090759276,250.3722381591797,20.621665954589844,37.954010009765625,362.06451416015625,179.99720764160156,46.24081039428711,175.06468200683594,15.513148307800291,16.105430603027344,43.18367767333984,68.7291488647461,69.02494812011719,121.09575653076172,28.53971290588379
2023-05-17,318.2145080566406,196.37741088867188,30.964130401611328,46.47975158691406,87.88922119140625,94.93016815185548,124.6347427368164,16.71746063232422,55.3841667175293,127.8504638671875,135.2140655517578,197.98751831054688,400.3771362304688,142.65391540527344,147.41416931152344,399.5782775878906,15.484539985656738,253.49375915527344,20.9167709350586,38.48140335083008,366.38671875,182.1991271972656,47.04656600952149,178.33653259277344,15.702332496643066,16.18711280822754,43.53385543823242,69.73833465576172,69.2720718383789,122.6187973022461,28.701160430908203
2023-05-18,319.5934143066406,198.2271881103516,31.19280242919922,46.71299743652344,88.74504089355469,95.24227905273438,124.33031463623048,16.98141098022461,55.96089172363281,128.26046752929688,136.30844116210938,199.9564514160156,404.2560424804688,143.3907012939453,148.3236541748047,403.427490234375,15.644804954528809,257.52117919921875,21.02110290527344,38.81102752685547,369.9694519042969,184.0356292724609,47.44944763183594,179.9916229248047,15.859448432922363,16.159883499145508,43.64527130126953,70.34196472167969,69.41465759277344,123.21678924560547,28.68321990966797
2023-05-19,318.5033874511719,197.5788116455078,31.059402465820312,46.68500518798828,88.5527114868164,95.17801666259766,124.91058349609376,16.93453598022461,55.97065734863281,128.26046752929688,135.9468231201172,199.47622680664065,403.67034912109375,143.23956298828125,148.18153381347656,402.8405151367188,15.612751007080078,256.7531433105469,21.041969299316406,38.70743560791016,369.383544921875,183.6990966796875,47.00819396972656,178.55657958984375,15.830595970153809,16.255184173583984,43.67710113525391,70.06845092773438,69.50969696044922,122.81501007080078,28.808788299560547
2023-05-22,317.2738037109375,198.53225708007807,31.11656951904297,46.54507064819336,88.7162094116211,95.00358581542967,125.0342788696289,16.99620819091797,55.96089172363281,128.04615783691406,136.1561737060547,199.8219757080078,403.78558349609375,143.38125610351562,147.48995971679688,403.0040893554688,15.63839054107666,257.4424743652344,21.04494857788086,38.70743560791016,369.5852966308594,183.8433074951172,47.26143264770508,180.11599731445312,15.846624374389648,16.27333641052246,43.58957290649414,70.11559295654297,69.34811401367188,122.97384643554688,28.85363006591797
2023-05-23,315.0913391113281,196.0914001464844,30.754526138305664,46.24652862548828,87.76422119140625,94.7649154663086,123.6644515991211,16.73966407775879,55.34507751464844,127.32861328125,134.70018005371094,197.70899963378903,399.3690185546875,142.3516387939453,145.97410583496094,398.4812622070313,15.468514442443848,253.4642333984375,21.038986206054688,38.30246353149414,365.4551086425781,181.76641845703125,46.79140853881836,178.62356567382812,15.670269012451172,16.046436309814453,43.231422424316406,69.35165405273438,68.69227600097656,122.048828125,28.566621780395508
2023-05-24,312.6132202148437,194.0986328125,30.35437393188477,45.86400985717773,87.09112548828125,93.95709228515624,122.81781005859376,16.675527572631836,55.002960205078125,126.1078643798828,133.23472595214844,196.18185424804688,396.3735046386719,141.048095703125,144.7046356201172,395.5943298339844,15.346715927124023,252.0758209228516,20.83926773071289,37.97283172607422,362.71771240234375,180.5164337158203,46.33672332763672,176.58580017089844,15.554832458496094,15.824071884155272,42.85737228393555,68.7668685913086,68.16000366210938,120.40432739257812,28.207857131958008
2023-05-25,312.36553955078125,193.96511840820312,30.3448486328125,45.78937530517578,87.66805267333984,93.34202575683594,121.56214141845705,17.023345947265625,55.86314010620117,125.55809020996094,133.14906311035156,197.5168914794922,399.8683166503906,140.32073974609375,144.90359497070312,399.0201110839844,15.455694198608398,256.7826538085937,20.75878524780273,37.98226165771485,365.8777160644531,181.83370971679688,46.33097076416016,175.95436096191406,15.679885864257812,15.792306900024414,42.88920211791992,68.79517364501953,67.9223861694336,120.03990173339844,28.10022735595703
2023-05-26,315.3105163574219,195.91976928710932,30.59256172180176,46.153228759765625,88.83158111572266,93.98461151123048,121.3148193359375,17.366226196289062,56.56692886352539,126.5085678100586,134.262451171875,200.1197509765625,405.1201171875,141.41648864746094,146.33416748046875,404.187744140625,15.660831451416016,261.6175842285156,20.99427795410156,38.48140335083008,370.6322326660156,184.4875640869141,46.77605819702149,177.77210998535156,15.891520500183104,15.942058563232422,43.088172912597656,69.70060729980469,68.21703338623047,120.9368896484375,28.315486907958984
2023-05-30,315.0055847167969,195.84347534179688,30.583032608032227,46.00394821166992,88.87004089355469,93.63578033447266,120.56332397460938,17.413095474243164,56.61580276489258,126.1265106201172,134.02455139160156,200.1869659423828,405.1969604492188,141.1519775390625,145.9077911376953,404.3417053222656,15.667238235473633,262.5531616210937,20.9167709350586,38.47198486328125,370.7475280761719,184.5260162353516,46.74152755737305,177.65731811523438,15.891520500183104,15.805917739868164,43.01652908325195,69.64402770996094,67.96039581298828,120.81544494628906,28.10919761657715
